"NumberFledged","TerritoryQuality","TempYearAv"
7,0.794117647,10.534197
7,0.705882353,10.534197
6,0.742857143,10.534197
7,0.852941176,10.534197
6,0.764705882,10.534197
7,0.735294118,10.534197
7,0.647058824,10.534197
5,0.588235294,10.534197
8,0.647058824,10.534197
7,0.705882353,10.534197
6,0.666666667,10.534197
7,1,10.534197
7,0.5,10.534197
6,0.75,10.534197
4,0.625,10.534197
8,0.375,10.534197
4,0.625,10.534197
7,0.818181818,10.534197
5,0.696969697,10.534197
8,0.696969697,10.534197
7,0.878787879,10.534197
0,0.666666667,10.534197
8,0.545454545,10.534197
5,0.878787879,10.534197
0,0.425,10.534197
3,0.35,10.534197
5,0.375,10.534197
1,0.55,10.534197
0,0.3,10.534197
5,0.4,10.534197
5,0.65,10.534197
3,0.55,10.534197
7,0.325,10.534197
6,0.725,10.534197
3,0.65,10.534197
4,0.425,10.534197
7,0.5,10.534197
8,0.575,10.534197
5,0.875,10.534197
7,0.825,10.534197
6,0.775,10.534197
0,0.85,10.534197
4,0.525,10.534197
6,0.4,10.534197
6,0.625,10.534197
6,0.5,10.534197
3,0.625,10.534197
7,0.5,10.534197
0,0.625,10.534197
3,0.775,10.534197
6,0.725,10.534197
6,0.65,10.534197
3,0.75,10.534197
3,0.55,10.534197
2,0.825,10.534197
7,0.6,10.534197
4,0.125,10.534197
4,0.777777778,10.534197
5,0.444444444,10.534197
0,0.555555556,10.534197
0,0.333333333,10.534197
0,0.333333333,10.534197
6,0.666666667,10.534197
6,0.777777778,10.534197
7,0.666666667,10.534197
2,0.777777778,10.534197
7,0.777777778,10.534197
6,0.777777778,10.534197
4,0.5,10.534197
4,0.166666667,10.534197
6,0.794117647,9.224223
6,0.852941176,9.224223
6,0.705882353,9.224223
7,0.823529412,9.224223
5,0.470588235,9.224223
7,0.794117647,9.224223
7,0.764705882,9.224223
6,0.735294118,9.224223
8,0.588235294,9.224223
6,0.705882353,9.224223
7,0.647058824,9.224223
7,0.705882353,9.224223
6,0.588235294,9.224223
5,0.757575758,9.224223
7,0.818181818,9.224223
3,0.75,9.224223
6,0.5,9.224223
7,0.8,9.224223
4,0.75,9.224223
7,0.625,9.224223
6,0.625,9.224223
7,0.696969697,9.224223
7,0.818181818,9.224223
8,0.696969697,9.224223
6,0.727272727,9.224223
7,0.545454545,9.224223
4,0.848484848,9.224223
6,0.545454545,9.224223
6,0.606060606,9.224223
6,0.878787879,9.224223
0,0.475,9.224223
4,0.625,9.224223
4,0.65,9.224223
5,0.525,9.224223
2,0.325,9.224223
3,0.625,9.224223
5,0.725,9.224223
6,0.625,9.224223
7,0.6,9.224223
6,0.575,9.224223
5,0.825,9.224223
5,0.7,9.224223
7,0.775,9.224223
6,0.5,9.224223
6,0.6,9.224223
4,0.45,9.224223
4,0.4,9.224223
4,0.525,9.224223
7,0.7,9.224223
5,0.825,9.224223
5,0.55,9.224223
7,0.55,9.224223
5,0.8,9.224223
5,0.725,9.224223
5,0.75,9.224223
5,0.75,9.224223
5,0.5,9.224223
6,0.625,9.224223
0,0.6,9.224223
5,0.425,9.224223
3,0.5,9.224223
6,0.444444444,9.224223
6,0.777777778,9.224223
6,0.888888889,9.224223
7,0.555555556,9.224223
0,0.555555556,9.224223
8,0.666666667,9.224223
0,0.777777778,9.224223
4,0.666666667,9.224223
8,0.555555556,9.224223
5,0.777777778,9.224223
4,0.777777778,9.224223
5,0.888888889,9.224223
2,0.5,9.224223
0,0.75,9.224223
0,0.5,9.224223
5,0.5,9.224223
4,0.5,9.224223
3,0.852941176,9.81249
5,0.852941176,9.81249
0,0.823529412,9.81249
7,0.794117647,9.81249
6,0.764705882,9.81249
7,0.735294118,9.81249
6,0.735294118,9.81249
8,0.647058824,9.81249
4,0.705882353,9.81249
8,0.647058824,9.81249
0,0.757575758,9.81249
6,0.666666667,9.81249
6,0.818181818,9.81249
7,0.75,9.81249
5,0.5,9.81249
5,0.625,9.81249
7,0.125,9.81249
7,1,9.81249
7,0.8,9.81249
6,0.75,9.81249
2,0.625,9.81249
7,0.606060606,9.81249
0,0.696969697,9.81249
7,0.757575758,9.81249
6,0.818181818,9.81249
6,0.545454545,9.81249
7,0.606060606,9.81249
6,0.878787879,9.81249
6,0.475,9.81249
0,0.55,9.81249
0,0.525,9.81249
0,0.575,9.81249
0,0.475,9.81249
6,0.65,9.81249
5,0.325,9.81249
0,0.5,9.81249
2,0.725,9.81249
7,0.6,9.81249
5,0.65,9.81249
0,0.75,9.81249
7,0.575,9.81249
4,0.525,9.81249
7,0.825,9.81249
3,0.675,9.81249
6,0.6,9.81249
5,0.55,9.81249
3,0.75,9.81249
0,0.625,9.81249
4,0.5,9.81249
5,0.625,9.81249
7,0.7,9.81249
6,0.5,9.81249
0,0.625,9.81249
0,0.725,9.81249
2,0.55,9.81249
3,0.575,9.81249
6,0.725,9.81249
0,0.75,9.81249
2,0.7,9.81249
0,0.525,9.81249
6,0.625,9.81249
2,0.425,9.81249
1,0.5,9.81249
2,0.777777778,9.81249
7,0.777777778,9.81249
2,0.888888889,9.81249
3,0.777777778,9.81249
0,0.777777778,9.81249
0,1,9.81249
5,0.555555556,9.81249
0,0.555555556,9.81249
3,0.444444444,9.81249
0,0.777777778,9.81249
3,0.777777778,9.81249
5,0.555555556,9.81249
6,0.888888889,9.81249
0,0.25,9.81249
3,0.5,9.81249
3,0.75,9.81249
5,0.5,9.81249
0,0.625,9.81249
1,0.45,10.722897
4,0.375,10.722897
6,0.35,10.722897
0,0.475,10.722897
3,0.475,10.722897
2,0.4,10.722897
6,0.45,10.722897
7,0.65,10.722897
5,0.55,10.722897
6,0.3,10.722897
4,0.675,10.722897
0,0.5,10.722897
7,0.5,10.722897
1,0.625,10.722897
6,0.675,10.722897
6,0.575,10.722897
3,0.825,10.722897
1,0.7,10.722897
1,0.775,10.722897
5,0.5,10.722897
7,0.6,10.722897
6,0.55,10.722897
6,0.6,10.722897
5,0.175,10.722897
6,0.625,10.722897
3,0.65,10.722897
4,0.525,10.722897
6,0.625,10.722897
6,0.7,10.722897
7,0.825,10.722897
6,0.85,10.722897
4,0.775,10.722897
6,0.625,10.722897
6,0.7,10.722897
6,0.75,10.722897
6,0.5,10.722897
6,0.65,10.722897
7,0.6,10.722897
7,0.425,10.722897
5,0.375,10.722897
0,0.375,10.722897
2,0.444444444,10.722897
0,0.444444444,10.722897
6,0.777777778,10.722897
7,0.777777778,10.722897
2,0.666666667,10.722897
5,0.666666667,10.722897
6,0.666666667,10.722897
6,0.555555556,10.722897
6,0.666666667,10.722897
7,0.444444444,10.722897
0,0.555555556,10.722897
6,0.777777778,10.722897
6,0.888888889,10.722897
0,0.5,10.722897
4,0.5,10.722897
6,0.25,10.722897
3,0.75,10.722897
5,0.4,10.722897
5,0.794117647,10.722897
7,0.852941176,10.722897
6,0.470588235,10.722897
6,0.794117647,10.722897
7,0.764705882,10.722897
3,0.735294118,10.722897
6,0.647058824,10.722897
7,0.705882353,10.722897
5,0.8,10.722897
3,0.6,10.722897
7,0.75,10.722897
6,0.625,10.722897
5,0.625,10.722897
0,0.588235294,10.722897
4,0.818181818,10.722897
6,0.75,10.722897
5,0.5,10.722897
5,0.696969697,10.722897
1,0.757575758,10.722897
6,0.878787879,10.722897
7,0.666666667,10.722897
5,0.545454545,10.722897
5,0.606060606,10.722897
6,0.878787879,10.722897
